t [s];P [Pa];Q [m^3/s];A [m^2];P_f [Pa];P_b [Pa];Q_f [m^3/s];Q_b [m^3/s]
0.086092715231788075;13526.426622592688;0.00018832719796535856;0.0030158791169972899;198.08216128374636;0.40341451580195553;0.00019250154930034667;-3.9204903055848185e-07
0.089403973509933773;13530.485575799548;0.00019210950026978823;0.0030172511265012252;201.03180989076205;0.49908966082952588;0.00019536809681306689;-4.8502869883359915e-07
0.092715231788079472;13533.530899551592;0.00019488306811423333;0.0030182807133067391;202.92498341650872;0.60674381199049776;0.00019720793354767533;-5.8964988608555642e-07
0.09602649006622517;13535.531727228499;0.00019661828366158982;0.0030189572643384431;203.74205519727263;0.72585969740532619;0.0001980019857867432;-7.0540989365081464e-07
0.099337748344370855;13536.467914894678;0.00019729657589309243;0.0030192738487366299;203.47462578428758;0.85559624663208922;0.00019774209072100595;-8.314913467461464e-07
0.10264900662251655;13536.33022203092;0.00019691059937425984;0.0030192272850094446;202.12559898765457;0.99479990888256964;0.00019643107035089102;-9.667731938241015e-07
0.10596026490066225;13535.120398896537;0.00019546429715706698;0.0030188181734023566;199.70915130213427;1.1420287207373576;0.00019408270177367394;-1.1098540962128684e-06
0.10927152317880795;13532.851180022872;0.00019297284767746112;0.0030180508932011445;196.25059500186444;1.2955888998926497;0.00019072158413526789;-1.2590879909092731e-06
0.11258278145695365;13529.546183901757;0.00018946249614435867;0.0030169335650070254;191.78613579187567;1.4535826685385587;0.00018638290310946879;-1.4126305666112071e-06
0.11589403973509933;13525.239718460414;0.00018497027254285763;0.0030154779779948343;186.36252651874014;1.6139657508156944;0.00018111209436469356;-1.5684951412896594e-06
0.11920529801324503;13519.976492269556;0.00017954359922340394;0.0030136994824128314;180.03661906770532;1.7746121812721896;0.00017496440808561283;-1.7246156447822095e-06
0.12251655629139073;13513.811231248977;0.00017323979244083067;0.003011616847640146;172.87481722474598;1.9333837956083642;0.00016800437724983827;-1.8789141517581005e-06
0.12582781456953643;13506.808201020354;0.00016612546309808024;0.0030092520863549662;164.95243396019083;2.0882013108125221;0.00016030519301894031;-2.0293699593001372e-06
0.12913907284768211;13499.040635271003;0.00015827582305964023;0.0030066302455294897;156.35295730633504;2.2371138259205736;0.00015194799129864976;-2.1740871296032656e-06
0.13245033112582782;13490.590071132256;0.00014977390416904654;0.0030037791652545486;147.16722975688069;2.3783635068116666;0.00014302105525725676;-2.311357352390787e-06
0.13576158940397351;13481.545593263692;0.00014070969790486602;0.0030007292066765372;137.49254691664299;2.5104424321269363;0.0001336189393692573;-2.4397151893024421e-06
0.13907284768211919;13472.00298934877;0.00013117922417995491;0.0029975129506930819;127.43168197594751;2.6321388957043439;0.00012384152137344368;-2.5579830718379333e-06
0.14238410596026491;13462.063820871652;0.00012128353830160582;0.0029941648694397885;117.09184347503461;2.7425709768523205;0.000113792989400441;-2.6653039258491169e-06
0.14569536423841059;13451.834414451887;0.00011112768547459195;0.0029907209730382959;106.58357475446476;2.8412058219632712;0.00010358077242913905;-2.7611599099307859e-06
0.1490066225165563;13441.424780576428;0.00010081961251920834;0.0029872184345359747;96.019604449250181;2.9278638207882111;9.3314423166099758e-05;-2.8453764740322371e-06
0.15231788079470199;13430.947468270038;9.0469046692067588e-05;0.0029836951964451542;85.513658363388686;3.0027076611402492;8.3104463393410757e-05;-2.9181117225265225e-06
0.15562913907284767;13420.516366024529;8.0186351670884302e-05;0.0029801895627664735;75.179244038121254;3.0662170507732114;7.3061202779569527e-05;-2.9798318482577091e-06
0.15894039735099338;13410.245461088894;7.0081370931311879e-05;0.0029767397808350732;65.128420276382883;3.1191506681341963;6.3293543070385772e-05;-3.0312741552585149e-06
0.16225165562913907;13400.247570944517;6.0262268915127315e-05;0.0029733836177446419;55.470564776029846;3.1624975778517097;5.3907780441949236e-05;-3.0733998430227721e-06
0.16556291390728478;13390.633062353882;5.0834380598926522e-05;0.0029701579364561971;46.31115381846277;3.1974208925269458;4.5006419569354156e-05;-3.1073392555278579e-06
0.16887417218543047;13381.50857471099;4.1899080313826356e-05;0.0029670982769715976;37.750568615362553;3.2251968275933507;3.6687013602484207e-05;-3.1343326531100215e-06
0.17218543046357615;13372.975765442956;3.3552680949374246e-05;0.0029642384481230947;29.88294338927242;3.2471524668735938;2.9041044699877221e-05;-3.1556697313712144e-06
0.17549668874172186;13365.130095856146;2.5885374968506068e-05;0.0029616101355890742;22.79507050762026;3.2646055123784894;2.2152860008639628e-05;-3.1726310684139877e-06
0.17880794701986755;13358.059676019999;1.8980228940225699e-05;0.0029592425316788346;16.565377960078401;3.2788090450263025;1.6098677949565777e-05;-3.1864344418350004e-06
0.18211920529801323;13351.844187005105;1.2912243507730835e-05;0.0029571619922330174;11.262994126684504;3.2909038903868466;1.0945679333747178e-05;-3.1981885364758132e-06
0.18543046357615894;13346.553898017071;7.7474907972714244e-06;0.0029553917256602801;6.9469140982522255;3.3018806051319838;6.7511971704221811e-06;-3.2088560018393222e-06
0.18874172185430463;13342.248794703384;3.5423411685829181e-06;0.0029539515186827832;3.6652807628361481;3.3125524227561858;3.5620180075482892e-06;-3.2192271600158275e-06
0.19205298013245034;13338.977833185592;3.4279084753252058e-07;0.0029528575028050156;1.4547924591650769;3.3235397778873219;1.4138062735427094e-06;-3.2299049659918683e-06
0.19536423841059603;13336.778332237052;-1.8160986924490996e-06;0.0029521219648700947;0.34024723442984928;3.3352663252315073;3.3066137479740712e-07;-3.2413011387565922e-06
0.19867549668874171;13335.675513559661;-2.9106397639591255e-06;0.0029517532043464019;0.19835976335888317;3.3477737850517135;1.9277133043179289e-07;-3.2534562231802168e-06
0.20198675496688742;13335.546133548411;-3.0606848927483646e-06;0.0029517099437661553;0.19837133025676779;3.3599099201031173;1.9278257145336641e-07;-3.2652504442491794e-06
0.20529801324503311;13335.55828125036;-3.0724678727957537e-06;0.0029517140055596667;0.1983825260541987;3.3716743819203212;1.9279345182896102e-07;-3.2766834633145094e-06
0.20860927152317882;13335.570056907975;-3.0838900114854889e-06;0.0029517179429564113;0.19839371919222226;3.3834532439017884;1.9280432961995401e-07;-3.2881304768450118e-06
0.2119205298013245;13335.581846963094;-3.0953261472249981e-06;0.0029517218851698437;0.19840529377380278;3.3956513640745545;1.928155781086585e-07;-3.2999849367148875e-06
0.21523178807947019;13335.594056657848;-3.1071693586061691e-06;0.0029517259676999836;0.19841711326449807;3.4081265239564837;1.9282706460642583e-07;-3.312108631193531e-06
0.2185430463576159;13335.606543637221;-3.1192815665870453e-06;0.002951730142948123;0.19842903313041571;3.4207272199789953;1.9283864865101183e-07;-3.3243543250551445e-06
0.22185430463576158;13335.619156253109;-3.1315156764040729e-06;0.0029517343602081087;0.19844093145681407;3.4333249610650003;1.9285021176325631e-07;-3.3365971472306635e-06
0.2251655629139073;13335.631765892522;-3.1437469354673472e-06;0.0029517385764758659;0.19845288255917337;3.4459985423332378;1.928618261647135e-07;-3.3489136729265209e-06
0.22847682119205298;13335.644451424892;-3.1560518467617475e-06;0.0029517428181228861;0.19846493751254202;3.458802572672667;1.9287354149069607e-07;-3.3613569725227353e-06
0.23178807947019867;13335.657267510185;-3.1684834310319793e-06;0.0029517471034258337;0.19847713476236239;3.4717785797576073;1.9288539510480227e-07;-3.373967403726677e-06
0.23509933774834438;13335.67025571452;-3.1810820086218148e-06;0.0029517514462832437;0.19848944177185857;3.4848927314879727;1.9289735538673357e-07;-3.3867120875972158e-06
0.23841059602649006;13335.68338217326;-3.1938147322104224e-06;0.0029517558353719352;0.1985018439292483;3.4981301142969023;1.9290940813481135e-07;-3.3995765307291088e-06
0.24172185430463577;13335.696631958226;-3.2066671225942378e-06;0.0029517602657004763;0.19851433227008397;3.5114817602596955;1.9292154463958939e-07;-3.4125520178554e-06
0.24503311258278146;13335.70999609253;-3.2196304732157511e-06;0.0029517647342673556;0.19852692265004035;3.524965226751839;1.9293378030785118e-07;-3.425655611701617e-06
0.24834437086092714;13335.723492149402;-3.2327218313937065e-06;0.0029517692469486294;0.19853962133160663;3.5385879051970477;1.9294612122673759e-07;-3.4388944954523667e-06
0.25165562913907286;13335.737127526529;-3.2459483742255696e-06;0.0029517738062179691;0.19855243235470854;3.5523548558729159;1.9295857132153313e-07;-3.4522735868201139e-06
0.25496688741721857;13335.750907288228;-3.2593150154985215e-06;0.0029517784137688434;0.19856535150560828;3.5662622981800927;1.929711264989316e-07;-3.4657892117188767e-06
0.25827814569536423;13335.764827649686;-3.2728180852198856e-06;0.0029517830683358317;0.19857837903552156;3.5803112460339905;1.9298378700096736e-07;-3.4794423554967019e-06
0.26158940397350994;13335.778889625069;-3.2864585684956751e-06;0.002951787770258155;0.19859151608645709;3.5945036919286335;1.9299655393940569e-07;-3.4932349545145761e-06
0.26490066225165565;13335.793095208015;-3.3002384005751109e-06;0.0029517925202025407;0.19860476645182468;3.6088445193277034;1.9300943099891337e-07;-3.5071717546514224e-06
0.26821192052980131;13335.80744928578;-3.3141623236524493e-06;0.002951797319803268;0.19861813209832779;3.6233366750500471;1.9302242009197095e-07;-3.5212556197059004e-06
0.27152317880794702;13335.821954807148;-3.3282331996138698e-06;0.0029518021700464508;0.19863161471018276;3.6379828298761363;1.9303552285520427e-07;-3.5354891452138616e-06
0.27483443708609273;13335.836614444586;-3.3424536223585976e-06;0.0029518070718258108;0.19864521523567769;3.6527848812332415;1.9304874021022816e-07;-3.5498741751459858e-06
0.27814569536423839;13335.851430096469;-3.3568254349356977e-06;0.0029518120257762443;0.19865893539261092;3.6677455913834285;1.9306207382662418e-07;-3.5644133939427061e-06
0.2814569536423841;13335.866404526776;-3.371351320116022e-06;0.0029518170328220821;0.19867277704440922;3.6828679114343155;1.9307552551407885e-07;-3.579109669568199e-06
0.28476821192052981;13335.881540688479;-3.3860341440540602e-06;0.0029518220939508538;0.19868674230479311;3.6981550989866854;1.9308909732827889e-07;-3.5939661678476661e-06
0.28807947019867547;13335.896841841291;-3.4008770705193273e-06;0.0029518272102526627;0.19870083304399189;3.713610181447959;1.9310279108596682e-07;-3.6089858308959217e-06
0.29139072847682118;13335.912311014492;-3.415883039809895e-06;0.0029518323827405634;0.19871505114610755;3.7292362346550099;1.9311660861830398e-07;-3.6241716478937563e-06
0.29470198675496689;13335.927951285801;-3.4310550392753926e-06;0.0029518376124438154;0.19872939847846571;3.7450363549596801;1.931305517405847e-07;-3.6395266279593925e-06
0.29801324503311261;13335.943765753438;-3.4463960762187479e-06;0.0029518429003985353;0.19874387706237751;3.7610138432125049;1.9314462241642912e-07;-3.6550539789470376e-06
0.30132450331125826;13335.959757720275;-3.4619093565305487e-06;0.0029518482477092784;0.19875848896364756;3.777172089306351;1.9315882265337287e-07;-3.6707569952452987e-06
0.30463576158940397;13335.97593057827;-3.4775981725918661e-06;0.002951853655510392;0.19877323630900356;3.7935145925654097;1.9317315451837795e-07;-3.686639077591294e-06
0.30794701986754969;13335.992287828874;-3.4934659230728561e-06;0.0029518591249728435;0.19878812122896994;3.8100448981595232;1.9318762008228977e-07;-3.7027036712763653e-06
0.31125827814569534;13336.008833019388;-3.5095160511940153e-06;0.0029518646572829345;0.19880314590594184;3.8267666554038327;1.9320222146520174e-07;-3.7189543228018848e-06
0.31456953642384106;13336.02556980131;-3.5257521013366231e-06;0.0029518702536618156;0.1988183125664984;3.843683607125377;1.9321696083275919e-07;-3.735394669549205e-06
0.31788079470198677;13336.042501919692;-3.5421777087163859e-06;0.0029518759153619283;0.19883362350600908;3.8607996214289653;1.9323184041342704e-07;-3.7520284706439364e-06
0.32119205298013243;13336.059633244935;-3.5587966302304493e-06;0.0029518816436776315;0.19884908106575327;3.8781186688189795;1.9324686248374884e-07;-3.7688595847297989e-06
0.32450331125827814;13336.076967749885;-3.5756127222459901e-06;0.0029518874399375485;0.1988646885517833;3.8956458542009207;1.9326203025727273e-07;-3.7858929728913149e-06
0.32781456953642385;13336.094510542753;-3.5926309426339821e-06;0.0029518933058499501;0.19888046329520637;3.9134021357344513;1.9327736057476008e-07;-3.803149002827265e-06
0.33112582781456956;13336.11228259903;-3.6098716422524448e-06;0.0029518992484287828;0.19889652771163613;3.9315272495612623;1.9329297240502536e-07;-3.8207634738645503e-06
0.33443708609271522;13336.130423777273;-3.627470501459465e-06;0.0029519053144399297;0.19891351465714813;3.9507396210071355;1.9330948077372648e-07;-3.8394345709745477e-06
0.33774834437086093;13336.149653135664;-3.6461250902007611e-06;0.0029519117443213981;0.19893385225287519;3.9738007702050799;1.9332924539362321e-07;-3.8618460133801619e-06
0.34105960264900664;13336.172734622458;-3.6685167679864788e-06;0.0029519194622805202;0.1989648022543915;4.0090041968552788;1.9335932343477954e-07;-3.8960576462050562e-06
0.3443708609271523;13336.20796899911;-3.702698322770217e-06;0.0029519312439274404;0.19902384580101051;4.0764810390183905;1.9341670353404183e-07;-3.9616334485589254e-06
0.34768211920529801;13336.275504884819;-3.7682167450248238e-06;0.0029519538265967296;0.19914533982855498;4.216604052325347;1.9353477468415028e-07;-4.0978087456148195e-06
0.35099337748344372;13336.415749392154;-3.90427397093061e-06;0.0029520007218721959;0.19938392262403615;4.4971216494334847;1.9376663583413723e-07;-4.3704232592050373e-06
0.35430463576158938;13336.696505572058;-4.1766566233708404e-06;0.0029520946028776898;0.19980605224408854;5.0135563776381105;1.9417687270433134e-07;-4.8723083590425052e-06
0.35761589403973509;13337.213362429882;-4.6781314863381138e-06;0.0029522674366066299;0.20046021636024691;5.8783619185846288;1.9481260691202156e-07;-5.7127495446435685e-06
0.36092715231788081;13338.078822134945;-5.5179369377314864e-06;0.0029525568522948617;0.20132463354280827;7.1993731640704572;1.9565267068044585e-07;-6.9965436518519948e-06
0.36423841059602646;13339.400697797613;-6.8008909811714884e-06;0.0029529989240030569;0.20224957368061713;9.054858313212609;1.9655155227754174e-07;-8.7997538127202759e-06
0.36754966887417218;13341.257107886893;-8.6032022604426732e-06;0.0029536198146480159;0.20292667729190872;11.47619531754173;1.9720957970171397e-07;-1.1152873960899997e-05
0.37086092715231789;13343.679121994834;-1.0955664381198222e-05;0.0029544299740347354;0.20290945108709235;14.446313915428723;1.9719283881407495e-07;-1.4039314758968187e-05
0.3741721854304636;13346.649223366516;-1.3842121920154051e-05;0.0029554236192813081;0.20167609546668541;17.913687910029637;1.9599423079121595e-07;-1.7409001668877939e-05
0.37748344370860926;13350.115364005496;-1.7213007438086662e-05;0.0029565834253504953;0.19869729714359896;21.813315982058128;1.9309935480348602e-07;-2.119876466770359e-05
0.38079470198675497;13354.012013279202;-2.1005665312900041e-05;0.0029578875556805408;0.1934769681341113;26.083507258553908;1.8802609926315075e-07;-2.5348650912920571e-05
0.38410596026490068;13358.276984226688;-2.5160624813657355e-05;0.0029593152854990477;0.18556572962455609;30.671785432089642;1.8033774580368922e-07;-2.980766252356921e-05
0.38741721854304634;13362.857351161714;-2.9627324777765458e-05;0.0029608489800453733;0.17457063212678325;35.530963079425803;1.6965241558848896e-07;-3.4529941497988642e-05
0.39072847682119205;13367.705533711553;-3.436028908240009e-05;0.0029624727830841018;0.16017987780989817;40.61169997332609;1.5566709513550898e-07;-3.9467537681938991e-05
0.39403973509933776;13372.771879851136;-3.9311870586803416e-05;0.0029641701313527337;0.14219998314347326;45.857715703934652;1.3819375196742481e-07;-4.4565756265840104e-05
0.39735099337748342;13377.999915687078;-4.4427562513872613e-05;0.0029659221592000049;0.12058888869024575;51.20585562675889;1.1719151159771868e-07;-4.976322187479026e-05
0.40066225165562913;13383.326444515449;-4.9646030363192475e-05;0.0029677077265296082;0.095472335961264365;56.589286663025341;9.2782572993098777e-08;-5.499498433293677e-05
0.40397350993377484;13388.684758998987;-5.4902201759943609e-05;0.0029695044912342386;0.06714365355246632;61.940875163226998;6.5252000739647362e-08;-6.0195801361740355e-05
0.40728476821192056;13394.008018816779;-6.0130549361000642e-05;0.0029712900397386864;0.036054672387389575;67.195078994759058;3.5038896229672289e-08;-6.5301977361409988e-05
0.41059602649006621;13399.231133667146;-6.526693846518025e-05;0.0029730425188391929;0.0028029975516858929;72.288533286451013;2.7240280899569247e-09;-7.0251932653126836e-05
0.41390728476821192;13404.291336284003;-7.0249208625036813e-05;0.0029747408297519499;-0.031885373097939818;77.160343677199478;-3.0987059519131207e-08;-7.4986488465919666e-05
0.41721854304635764;13409.128458304102;-7.5017475525438731e-05;0.0029763647234371006;-0.067181340608468032;81.752764995090388;-6.5288626029907956e-08;-7.9449526495212598e-05
0.42052980132450329;13413.685583654482;-7.9514815121242433e-05;0.002977895023466588;-0.10218631212389506;86.012237810616909;-9.9307394838369048e-08;-8.3588996253002376e-05
0.42384105960264901;13417.910051498493;-8.3688303647840666e-05;0.0029793139671242305;-0.13597083138482868;89.89040192709038;-1.3214009546108688e-07;-8.7357900004979841e-05
